credit_history,amount,employment,residence_since,age,housing,job,telephone,foreign_worker,marital_status,sex,credit_risk
1,7966,1,3,1,1,1,0,1,0,1,1
0,1532,2,3,1,1,1,0,1,0,1,0
0,1503,3,1,1,1,0,0,1,0,1,1
1,2302,2,4,1,0,1,0,1,1,0,1
1,662,1,4,1,1,0,1,1,0,1,1
1,2273,3,1,1,1,1,0,1,0,1,1
1,2631,2,4,1,0,1,1,1,1,0,0
0,1503,3,4,1,0,1,0,1,1,1,1
1,1311,3,3,1,1,1,1,1,1,1,1
1,3105,1,2,0,1,0,0,1,0,1,1
0,2319,1,1,1,0,1,0,1,1,0,1
1,1374,0,3,1,1,2,1,1,1,1,0
0,3612,4,4,1,1,1,1,1,1,1,0
1,7763,4,4,1,0,2,0,1,0,0,1
1,3049,1,1,1,1,0,0,1,1,1,0
1,1534,1,1,0,0,1,0,1,1,0,1
0,2032,4,4,1,0,1,0,1,0,1,1
1,6350,4,4,1,1,1,0,1,0,0,1
1,2864,2,1,1,1,0,0,1,0,0,1
0,1255,4,4,1,1,0,0,1,0,1,1
0,1333,0,2,1,0,1,0,1,0,0,1
0,2022,2,4,1,1,1,1,1,1,1,0
1,1552,3,1,1,1,1,0,1,0,1,1
1,626,2,4,0,1,0,0,1,1,0,0
0,3676,3,1,1,0,1,1,1,0,1,1
0,996,3,4,0,1,1,0,1,1,1,0
1,1750,4,4,1,1,0,0,1,0,1,1
1,6999,3,1,1,1,1,1,1,1,0,1
0,18424,1,1,1,1,1,0,1,0,1,1
1,1199,3,4,1,1,2,1,1,0,1,0
1,1331,1,1,0,1,1,0,1,0,0,1
1,2278,1,3,1,1,1,0,1,1,0,0
1,5003,2,4,1,1,1,1,1,1,0,0
