,status,duration,credit_history,purpose,amount,savings,employment,installment_rate,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,credit_risk,sex,marital_status
18,A12,24,A32,A41,12579,A61,A75,4,A101,2,A124,1,A143,A153,1,A174,1,A192,A201,0,0,1
19,A11,36,A34,A43,3430,A61,A75,4,A101,2,A123,1,A143,A152,1,A173,2,A192,A201,0,1,0
20,A14,18,A32,A40,2134,A61,A73,2,A101,4,A122,1,A143,A152,3,A173,1,A192,A201,0,1,0
21,A14,9,A32,A43,2647,A62,A73,1,A101,3,A124,1,A143,A151,1,A174,2,A191,A201,0,1,0
22,A11,10,A34,A40,2241,A61,A72,1,A101,3,A121,1,A143,A151,2,A172,2,A191,A202,1,1,0
23,A14,30,A32,A41,1804,A61,A72,4,A101,4,A122,1,A143,A152,1,A173,1,A191,A201,0,1,0
24,A12,24,A33,A42,2069,A61,A73,4,A101,1,A123,1,A141,A152,2,A173,1,A191,A202,0,1,1
25,A11,12,A33,A42,1374,A61,A73,2,A101,2,A121,1,A143,A152,1,A173,1,A192,A201,0,1,0
26,A14,6,A30,A43,426,A61,A75,4,A101,4,A123,1,A143,A152,1,A172,1,A191,A201,1,1,1
27,A13,12,A31,A43,409,A64,A73,3,A101,3,A121,1,A143,A151,2,A173,1,A191,A201,1,0,1
28,A12,7,A32,A43,2415,A61,A73,3,A103,2,A121,1,A143,A152,1,A173,1,A191,A201,1,1,0
29,A11,60,A33,A49,6836,A61,A75,3,A101,4,A124,1,A143,A152,2,A173,1,A192,A201,0,1,0
30,A12,18,A32,A49,1913,A64,A72,3,A101,3,A121,1,A141,A152,1,A173,1,A192,A201,1,1,1
31,A11,36,A32,A42,4020,A61,A73,4,A101,2,A121,1,A143,A152,1,A172,1,A191,A201,0,1,0
32,A12,18,A32,A40,5866,A62,A73,2,A101,2,A123,1,A143,A152,2,A173,1,A192,A201,1,1,0
33,A11,24,A30,A49,1264,A61,A75,4,A101,4,A124,1,A143,A151,1,A173,1,A191,A201,0,1,0
34,A14,24,A32,A42,1474,A65,A72,2,A101,1,A122,1,A143,A152,1,A171,1,A192,A201,0,0,1
35,A12,45,A34,A43,4746,A61,A72,4,A101,2,A122,0,A143,A152,2,A172,1,A191,A201,0,1,0
36,A14,48,A34,A46,6110,A61,A73,1,A101,3,A124,1,A141,A153,1,A173,1,A192,A201,1,1,0
37,A13,18,A32,A43,2100,A61,A73,4,A102,2,A121,1,A142,A152,1,A173,1,A191,A201,0,1,0
38,A14,12,A32,A44,1225,A61,A73,4,A101,2,A123,1,A141,A152,1,A174,1,A192,A201,0,1,0
39,A12,9,A32,A43,458,A61,A73,4,A101,3,A121,0,A143,A152,1,A173,1,A191,A201,1,1,0
40,A14,30,A32,A43,2333,A63,A75,4,A101,2,A123,1,A141,A152,1,A174,1,A191,A201,1,1,0
41,A12,24,A33,A43,1158,A61,A73,4,A101,1,A123,1,A141,A152,1,A174,1,A192,A201,0,1,1
42,A11,12,A32,A45,6204,A61,A73,3,A101,4,A123,1,A143,A152,1,A173,2,A192,A201,0,1,0
43,A11,30,A34,A41,6187,A62,A74,1,A101,4,A123,0,A143,A151,2,A173,1,A191,A201,1,1,1
44,A11,48,A34,A41,6143,A61,A75,4,A101,4,A124,1,A142,A153,2,A172,1,A191,A201,0,0,1
45,A11,48,A32,A40,1393,A63,A72,2,A101,4,A121,1,A143,A152,2,A173,1,A191,A201,0,0,1
46,A14,36,A32,A43,2299,A63,A75,4,A101,4,A123,1,A143,A152,1,A173,1,A191,A201,1,1,0
47,A11,6,A32,A41,1352,A63,A71,1,A101,2,A122,0,A143,A151,1,A171,1,A192,A201,1,0,1
48,A11,6,A32,A40,7228,A61,A73,4,A101,4,A124,1,A143,A152,2,A173,1,A191,A201,0,1,0
49,A11,15,A32,A43,2073,A61,A73,4,A102,2,A121,1,A143,A152,1,A173,1,A191,A201,0,0,1
50,A12,24,A33,A42,2333,A65,A72,4,A101,2,A122,1,A141,A152,1,A172,1,A191,A201,1,1,0
51,A12,27,A33,A41,5965,A61,A75,1,A101,2,A123,1,A143,A152,2,A174,1,A192,A201,1,1,0
52,A14,12,A32,A43,1262,A61,A73,3,A101,2,A123,0,A143,A152,1,A173,1,A191,A201,1,1,0
53,A14,18,A32,A41,3378,A65,A73,2,A101,1,A122,1,A143,A152,1,A173,1,A192,A201,1,1,0
54,A12,36,A33,A40,2225,A61,A75,4,A101,4,A124,1,A141,A153,2,A173,1,A192,A201,0,1,0
55,A14,6,A31,A40,783,A65,A73,1,A103,2,A121,1,A142,A152,1,A172,2,A191,A201,1,1,0
56,A12,12,A32,A43,6468,A65,A71,2,A101,1,A124,1,A143,A152,1,A174,1,A192,A201,0,1,0
57,A12,10,A34,A43,9566,A65,A73,3,A101,2,A123,1,A143,A152,2,A173,1,A191,A201,0,0,1
58,A13,18,A32,A40,1961,A61,A75,3,A101,2,A123,0,A143,A152,1,A174,1,A191,A201,1,0,1
59,A11,36,A34,A42,6229,A61,A72,4,A102,4,A124,0,A143,A151,2,A172,1,A192,A201,0,0,1
60,A12,36,A32,A49,1391,A61,A73,3,A101,1,A121,1,A143,A152,1,A173,1,A192,A201,0,1,1
61,A14,12,A30,A43,1537,A63,A75,2,A103,4,A123,1,A143,A152,2,A173,1,A192,A201,0,1,0
62,A12,36,A30,A49,1953,A61,A75,4,A101,4,A124,1,A143,A153,1,A174,1,A192,A201,0,1,0
63,A12,48,A30,A49,14421,A61,A73,2,A101,2,A123,0,A143,A152,1,A173,1,A192,A201,0,1,0
64,A14,24,A32,A43,3181,A61,A72,4,A101,4,A122,1,A143,A152,1,A173,1,A192,A201,1,0,1
65,A13,47,A34,A45,5190,A65,A75,1,A101,4,A123,1,A143,A152,4,A173,2,A192,A201,0,1,0
66,A14,12,A32,A43,2171,A61,A72,2,A101,2,A123,1,A141,A152,1,A173,1,A191,A201,1,0,1
67,A12,12,A32,A40,1007,A64,A73,4,A101,1,A121,0,A143,A152,1,A173,1,A191,A201,1,1,1
68,A14,36,A32,A46,1819,A61,A73,4,A101,4,A124,1,A142,A153,1,A173,1,A192,A201,0,1,0
69,A14,36,A32,A43,2394,A65,A73,4,A101,4,A123,0,A143,A152,1,A173,1,A191,A201,1,0,1
70,A14,48,A32,A41,8133,A62,A73,3,A101,2,A121,1,A143,A152,1,A172,1,A191,A201,0,0,1
71,A11,48,A32,A43,730,A61,A75,2,A101,2,A123,1,A143,A151,2,A173,1,A192,A201,0,1,0
72,A11,8,A34,A410,1164,A61,A75,3,A101,4,A124,1,A141,A153,2,A174,2,A192,A201,1,1,0
73,A11,24,A33,A49,5954,A65,A74,4,A101,1,A124,1,A143,A152,2,A173,1,A191,A201,0,0,1
74,A11,36,A32,A46,1977,A65,A75,4,A101,4,A124,1,A143,A152,1,A174,1,A192,A201,0,1,0
75,A11,12,A34,A41,1526,A61,A75,4,A101,4,A124,1,A143,A153,2,A174,1,A191,A201,1,1,0
76,A11,42,A32,A43,3965,A61,A72,4,A101,3,A123,1,A143,A152,1,A173,1,A191,A201,0,1,0
77,A13,36,A32,A43,4771,A65,A74,2,A101,4,A123,1,A143,A152,1,A173,1,A191,A201,0,1,0
78,A14,24,A34,A41,9436,A62,A73,4,A101,2,A122,1,A143,A152,1,A173,2,A191,A201,0,1,0
79,A12,30,A32,A42,3832,A61,A72,2,A101,1,A122,0,A143,A152,1,A173,1,A191,A201,1,1,1
80,A14,24,A32,A43,5943,A65,A72,1,A101,1,A123,1,A143,A152,2,A173,1,A192,A201,0,0,1
81,A14,15,A32,A43,1213,A63,A75,4,A101,3,A122,1,A142,A152,1,A173,1,A192,A201,1,1,0
82,A14,18,A32,A49,1568,A62,A73,3,A101,4,A122,0,A143,A151,1,A172,1,A191,A201,1,0,1
83,A14,36,A32,A410,1755,A65,A75,2,A103,4,A123,1,A143,A152,1,A173,1,A192,A201,0,0,1
84,A12,24,A34,A43,2315,A61,A75,2,A101,4,A124,1,A143,A152,1,A172,1,A191,A201,0,1,0
85,A14,24,A33,A49,1412,A61,A73,4,A103,2,A121,1,A143,A152,2,A173,1,A192,A201,0,0,1
86,A12,18,A34,A42,1295,A61,A72,4,A101,1,A122,1,A143,A152,2,A173,1,A191,A201,1,0,1
87,A12,36,A32,A46,12612,A62,A73,1,A101,4,A124,1,A143,A153,1,A173,2,A192,A201,0,1,0
88,A11,15,A34,A40,2249,A61,A74,4,A101,3,A124,1,A141,A152,1,A173,2,A192,A201,0,1,0
89,A11,12,A30,A45,1108,A61,A74,4,A101,3,A121,1,A143,A152,2,A173,1,A191,A201,0,1,0
90,A14,12,A34,A43,618,A61,A75,4,A101,4,A121,1,A143,A152,1,A173,1,A191,A201,1,1,0
91,A11,12,A34,A41,1409,A61,A75,4,A101,3,A121,1,A143,A152,1,A173,1,A191,A201,1,1,0
92,A14,12,A34,A43,797,A65,A75,4,A101,3,A122,1,A141,A152,1,A172,2,A191,A201,0,0,1
93,A13,24,A34,A42,3617,A65,A75,4,A102,4,A124,0,A143,A151,2,A173,1,A191,A201,1,1,0
94,A12,12,A32,A40,1318,A64,A75,4,A101,4,A121,1,A143,A152,1,A173,1,A192,A201,1,1,0
95,A12,54,A30,A49,15945,A61,A72,3,A101,4,A124,1,A143,A151,1,A173,1,A192,A201,0,1,0
96,A13,24,A32,A46,2012,A61,A74,4,A101,2,A123,1,A143,A152,1,A174,1,A191,A201,0,0,1
97,A11,24,A32,A49,2622,A61,A73,1,A101,4,A121,1,A142,A152,1,A173,1,A191,A201,0,1,0
98,A12,36,A34,A43,2337,A61,A75,4,A101,4,A121,1,A143,A152,1,A173,1,A191,A201,1,1,0
99,A12,20,A33,A41,7057,A65,A74,3,A101,4,A122,1,A141,A151,2,A174,2,A192,A201,1,1,0
100,A14,24,A32,A40,1469,A62,A75,4,A101,4,A121,1,A143,A151,1,A172,1,A191,A201,1,1,1
101,A12,36,A32,A43,2323,A61,A74,4,A101,4,A123,0,A143,A151,1,A173,1,A191,A201,1,1,0
102,A14,6,A33,A43,932,A61,A73,3,A101,2,A121,0,A143,A152,1,A173,1,A191,A201,1,0,1
103,A14,24,A30,A42,1919,A61,A74,2,A101,3,A123,1,A143,A151,1,A172,1,A192,A201,0,1,0
104,A14,36,A34,A41,2445,A64,A72,4,A101,4,A121,1,A143,A151,1,A173,1,A192,A201,0,1,1
105,A12,24,A34,A410,11938,A61,A73,2,A102,3,A123,1,A143,A152,2,A174,2,A192,A201,0,1,0
106,A14,18,A31,A40,6458,A61,A75,2,A101,4,A124,1,A141,A152,2,A174,2,A192,A201,0,1,0
107,A13,28,A32,A40,6078,A61,A74,4,A101,2,A121,1,A143,A152,1,A172,1,A191,A201,0,1,0
108,A11,15,A32,A42,7721,A65,A72,3,A101,2,A123,1,A143,A152,1,A173,1,A192,A202,0,0,1
109,A14,30,A32,A49,1410,A61,A75,3,A101,2,A123,1,A143,A152,1,A173,1,A192,A201,0,1,1
110,A13,30,A34,A49,1449,A61,A75,4,A101,2,A122,1,A143,A152,2,A174,2,A191,A201,0,1,1
111,A13,15,A32,A46,392,A61,A72,4,A101,4,A122,0,A143,A151,1,A173,1,A192,A201,1,0,1
112,A13,24,A34,A40,6260,A61,A74,4,A101,3,A123,1,A143,A151,1,A173,1,A191,A201,0,1,0
113,A14,36,A34,A40,7855,A61,A73,4,A101,2,A121,0,A142,A152,2,A173,1,A192,A201,0,0,1
114,A11,12,A32,A43,1680,A63,A75,3,A101,1,A121,1,A143,A152,1,A173,1,A191,A201,1,1,1
115,A13,12,A34,A43,3578,A61,A75,4,A101,1,A122,1,A143,A152,1,A174,1,A192,A201,0,1,0
116,A11,42,A32,A43,7174,A65,A74,4,A101,3,A123,1,A143,A152,1,A174,1,A192,A201,0,0,1
117,A11,10,A34,A42,2132,A65,A72,2,A102,3,A121,1,A143,A151,2,A173,1,A191,A202,1,0,1
118,A11,33,A34,A42,4281,A63,A73,1,A101,4,A123,0,A143,A152,2,A173,1,A191,A201,0,0,1
119,A12,12,A34,A40,2366,A63,A74,3,A101,3,A123,1,A143,A152,1,A174,1,A192,A201,1,1,1
120,A11,21,A32,A43,1835,A61,A73,3,A101,2,A121,0,A143,A152,2,A173,1,A192,A201,0,0,1
121,A14,24,A34,A41,3868,A61,A75,4,A101,2,A123,1,A143,A151,2,A174,1,A192,A201,1,0,1
122,A14,12,A32,A42,1768,A61,A73,3,A101,2,A121,0,A143,A151,1,A172,1,A191,A201,1,1,0
123,A12,18,A32,A40,781,A61,A75,4,A101,4,A124,1,A143,A153,2,A174,1,A192,A201,0,1,0
124,A12,18,A32,A42,1924,A65,A72,4,A101,3,A121,1,A143,A151,1,A173,1,A191,A201,0,0,1
125,A13,48,A34,A40,2121,A63,A73,3,A101,2,A122,1,A143,A152,2,A174,1,A191,A201,0,1,0
126,A11,12,A32,A43,701,A61,A73,4,A101,2,A121,1,A143,A152,1,A172,1,A191,A201,1,1,1
127,A12,12,A32,A45,639,A61,A73,4,A101,2,A123,1,A143,A152,1,A173,1,A191,A201,0,1,0
128,A12,12,A34,A41,1860,A61,A71,4,A101,2,A123,1,A143,A152,2,A174,1,A192,A201,1,1,0
129,A11,12,A34,A40,3499,A61,A73,3,A102,2,A121,1,A143,A152,2,A173,1,A191,A201,0,0,1
130,A12,48,A32,A40,8487,A65,A74,1,A101,2,A123,0,A143,A152,1,A173,1,A191,A201,1,0,1
131,A11,36,A33,A46,6887,A61,A73,4,A101,3,A122,1,A142,A152,1,A173,1,A192,A201,0,1,0
132,A11,24,A32,A42,2708,A61,A72,3,A101,3,A122,1,A143,A152,2,A173,1,A191,A201,0,1,0
133,A14,18,A32,A42,1984,A61,A73,4,A101,4,A124,1,A141,A153,2,A173,1,A191,A201,1,1,0
134,A14,60,A32,A43,10144,A62,A74,2,A101,4,A121,0,A143,A152,1,A173,1,A192,A201,1,0,1
135,A14,24,A34,A43,1240,A65,A75,4,A101,2,A123,1,A143,A152,2,A172,1,A192,A201,0,0,1
136,A12,12,A32,A41,8613,A63,A73,4,A101,2,A122,1,A142,A152,2,A172,1,A191,A201,0,1,0
137,A12,12,A32,A43,766,A63,A73,4,A101,3,A121,1,A143,A152,1,A172,1,A191,A201,0,1,0
138,A11,18,A32,A43,2728,A65,A74,4,A103,2,A124,1,A142,A152,3,A173,1,A192,A201,0,1,0
139,A14,36,A32,A43,1881,A62,A73,4,A101,2,A123,1,A143,A151,1,A173,1,A192,A201,0,0,1
140,A12,48,A32,A40,709,A61,A72,4,A101,2,A122,1,A143,A152,1,A173,1,A191,A202,0,1,1
141,A14,24,A32,A43,4795,A61,A72,4,A101,1,A123,1,A143,A152,1,A174,1,A192,A201,0,0,1
142,A12,36,A32,A43,3416,A63,A73,4,A101,2,A122,1,A143,A152,1,A173,1,A191,A201,0,1,0
143,A11,18,A32,A42,2462,A61,A73,2,A101,2,A123,0,A143,A152,1,A173,1,A191,A201,0,1,0
144,A14,21,A34,A42,2288,A61,A72,4,A101,4,A122,0,A143,A152,1,A173,1,A192,A201,1,0,1
145,A12,48,A31,A49,3566,A62,A74,4,A101,2,A123,1,A143,A152,1,A173,1,A191,A201,1,1,0
146,A11,6,A34,A40,860,A61,A75,1,A101,4,A124,1,A143,A152,2,A173,1,A192,A201,1,0,1
147,A14,12,A34,A40,682,A62,A74,4,A101,3,A123,1,A143,A152,2,A173,1,A192,A201,1,0,1
148,A11,36,A34,A42,5371,A61,A73,3,A103,2,A122,1,A143,A152,2,A173,1,A191,A201,1,1,0
149,A14,18,A34,A43,1582,A61,A75,4,A101,4,A122,1,A141,A152,2,A173,1,A191,A201,0,1,0
150,A14,6,A32,A43,1346,A62,A75,2,A101,4,A124,1,A141,A153,1,A173,2,A192,A201,1,1,0
151,A14,18,A30,A43,1924,A61,A73,4,A101,4,A123,1,A141,A152,1,A173,1,A192,A202,0,1,0
152,A13,36,A32,A43,5848,A61,A73,4,A101,1,A123,0,A143,A152,1,A173,1,A191,A201,1,1,0
153,A11,24,A32,A41,7758,A61,A75,3,A101,4,A121,1,A143,A151,1,A174,1,A191,A201,0,0,1
154,A12,24,A33,A49,6967,A62,A74,4,A101,4,A123,1,A143,A151,1,A174,1,A192,A201,1,1,0
155,A11,12,A32,A42,1282,A61,A73,2,A101,4,A123,0,A143,A151,1,A173,1,A191,A201,0,0,1
156,A11,9,A34,A45,1288,A62,A75,3,A103,4,A121,1,A143,A152,2,A173,2,A191,A202,1,1,0
157,A11,12,A31,A48,339,A61,A75,4,A101,1,A123,1,A141,A152,1,A172,1,A191,A201,1,1,1
158,A11,24,A33,A40,3512,A61,A74,1,A101,3,A122,1,A143,A152,2,A172,1,A192,A201,0,1,0
159,A14,6,A34,A43,1898,A65,A73,1,A101,2,A121,1,A143,A152,2,A172,2,A191,A201,1,1,0
160,A14,24,A34,A43,2872,A62,A75,3,A101,4,A121,1,A143,A152,1,A173,2,A192,A201,1,1,0
161,A14,12,A30,A40,1055,A61,A72,4,A101,1,A124,1,A143,A152,2,A172,1,A191,A201,0,0,1
162,A14,15,A32,A44,1262,A63,A74,4,A101,3,A122,1,A143,A152,2,A173,1,A192,A201,1,1,0
163,A12,10,A32,A40,7308,A61,A71,2,A101,4,A124,1,A141,A153,1,A174,1,A192,A201,1,1,0
164,A14,36,A32,A40,909,A63,A75,4,A101,4,A122,1,A143,A152,1,A173,1,A191,A201,1,1,0
165,A14,6,A32,A42,2978,A63,A73,1,A101,2,A123,1,A143,A152,1,A173,1,A192,A201,1,1,0
166,A11,18,A32,A42,1131,A61,A71,4,A101,2,A123,1,A143,A152,1,A173,1,A191,A201,0,0,1
167,A12,11,A32,A42,1577,A64,A72,4,A101,1,A121,0,A143,A152,1,A173,1,A191,A201,1,0,1
168,A14,24,A32,A42,3972,A61,A74,2,A101,4,A122,0,A143,A151,1,A173,1,A192,A201,1,0,1
169,A12,24,A34,A49,1935,A61,A75,4,A101,4,A121,1,A143,A152,2,A173,1,A192,A201,0,1,1
170,A11,15,A30,A40,950,A61,A75,4,A101,3,A123,1,A143,A151,2,A173,2,A191,A201,0,1,0
171,A14,12,A32,A42,763,A61,A73,4,A101,1,A121,1,A143,A152,1,A173,1,A192,A201,1,0,1
172,A12,24,A33,A42,2064,A61,A71,3,A101,2,A122,1,A143,A152,1,A174,1,A192,A201,0,0,1
173,A12,8,A32,A43,1414,A61,A73,4,A103,2,A121,1,A143,A152,1,A173,1,A191,A202,1,1,0
174,A11,21,A33,A46,3414,A61,A72,2,A101,1,A122,1,A143,A152,2,A173,1,A191,A201,0,1,0
175,A14,30,A31,A41,7485,A65,A71,4,A101,1,A121,1,A141,A152,1,A174,1,A192,A201,0,0,1
176,A14,24,A32,A42,2577,A61,A73,4,A101,1,A123,1,A143,A152,1,A173,1,A191,A201,0,1,1
177,A14,24,A32,A43,338,A61,A75,4,A101,4,A123,1,A143,A152,2,A173,1,A191,A201,0,1,0
178,A12,24,A32,A43,1963,A61,A74,3,A101,2,A124,1,A143,A151,2,A173,2,A192,A201,0,1,0
179,A11,21,A34,A40,571,A61,A75,4,A101,4,A121,1,A143,A152,2,A173,1,A191,A201,1,1,0
180,A14,36,A33,A49,9572,A61,A72,1,A101,1,A123,1,A143,A152,2,A173,1,A191,A201,0,1,1
181,A12,36,A33,A49,4455,A61,A73,2,A101,2,A121,1,A142,A152,2,A174,1,A192,A201,0,1,1
182,A11,21,A31,A40,1647,A65,A73,4,A101,2,A122,1,A143,A152,2,A172,2,A191,A201,0,1,0
183,A12,24,A32,A42,3777,A62,A73,4,A101,4,A121,1,A143,A152,1,A173,1,A192,A201,0,1,0
184,A12,18,A34,A40,884,A61,A75,4,A101,4,A123,1,A141,A152,1,A173,2,A192,A201,0,1,0
185,A14,15,A34,A43,1360,A61,A73,4,A101,2,A122,1,A143,A152,2,A173,1,A191,A201,1,1,0
186,A12,9,A31,A41,5129,A61,A75,2,A101,4,A124,1,A141,A153,1,A174,2,A192,A201,0,0,1
187,A12,6,A31,A40,1175,A61,A71,3,A101,3,A123,1,A143,A153,3,A173,1,A192,A201,0,1,0
188,A11,12,A32,A43,674,A62,A74,4,A101,1,A122,0,A143,A152,1,A173,1,A191,A201,0,1,1
189,A12,18,A30,A42,3244,A61,A73,1,A101,4,A123,1,A141,A152,2,A173,1,A192,A201,1,0,1
190,A14,24,A32,A49,4591,A64,A73,2,A101,3,A122,1,A143,A152,3,A174,1,A192,A201,0,1,0
191,A12,48,A30,A49,3844,A62,A74,4,A101,4,A124,1,A143,A153,1,A172,2,A191,A201,0,1,0
192,A12,27,A32,A49,3915,A61,A73,4,A101,2,A123,1,A143,A152,1,A173,2,A192,A201,0,1,0
193,A12,18,A34,A43,2108,A61,A74,1,A101,2,A122,1,A143,A151,1,A173,1,A191,A201,0,1,1
194,A12,45,A32,A43,3031,A62,A73,4,A103,4,A122,0,A143,A151,1,A173,1,A191,A201,0,1,0
195,A12,9,A34,A46,1501,A61,A75,2,A101,3,A123,1,A143,A152,2,A174,1,A192,A201,0,0,1
196,A14,24,A32,A43,1382,A61,A73,4,A101,1,A122,1,A141,A152,2,A173,1,A192,A201,0,0,1
197,A12,12,A32,A42,951,A62,A72,4,A101,4,A123,1,A141,A151,4,A173,1,A191,A201,0,0,1
198,A14,42,A32,A41,2760,A61,A75,4,A101,4,A121,1,A143,A153,1,A174,1,A192,A201,0,1,0
199,A12,18,A33,A42,4297,A61,A75,4,A101,3,A124,1,A143,A152,1,A174,1,A192,A201,0,1,1
200,A14,6,A32,A46,936,A61,A75,4,A101,2,A121,1,A142,A152,2,A173,1,A192,A201,0,1,0
201,A11,12,A32,A40,1168,A61,A73,4,A101,3,A121,1,A143,A152,1,A172,1,A191,A201,1,1,1
202,A14,9,A32,A49,5117,A61,A74,2,A101,4,A123,1,A143,A152,2,A173,1,A191,A201,0,1,0
203,A11,12,A32,A48,902,A61,A74,4,A101,4,A122,0,A143,A151,1,A173,1,A191,A201,0,1,1
204,A14,12,A34,A40,1495,A61,A75,4,A101,1,A121,1,A143,A152,2,A172,2,A191,A201,1,1,0
205,A11,21,A34,A41,10623,A61,A75,2,A101,4,A123,1,A143,A153,3,A174,2,A192,A201,0,1,0
206,A11,12,A32,A42,1935,A61,A75,4,A101,4,A121,1,A143,A152,3,A173,1,A192,A201,0,1,0
207,A14,15,A32,A44,1424,A61,A74,4,A101,3,A124,1,A143,A152,1,A174,1,A191,A201,0,1,0
208,A11,24,A32,A49,6568,A61,A73,2,A101,2,A123,0,A142,A152,1,A172,1,A191,A201,1,1,1
209,A14,12,A32,A41,1413,A62,A74,4,A101,2,A123,1,A141,A152,1,A173,1,A191,A202,0,1,0
210,A14,9,A34,A43,3074,A65,A73,1,A101,2,A121,1,A143,A152,2,A173,2,A191,A201,1,1,0
211,A14,36,A32,A43,3835,A65,A75,2,A101,4,A121,1,A143,A152,1,A172,1,A192,A201,1,0,1
212,A11,27,A30,A49,5293,A61,A71,2,A101,4,A122,1,A142,A152,2,A173,1,A192,A201,0,1,0
213,A13,30,A33,A49,1908,A61,A75,4,A101,4,A121,1,A143,A152,1,A174,1,A192,A201,0,1,0
214,A13,48,A32,A43,3342,A65,A75,1,A101,2,A121,1,A143,A152,1,A172,1,A192,A201,0,1,0
215,A14,36,A32,A48,932,A65,A74,1,A101,3,A123,1,A143,A152,2,A173,1,A191,A201,0,0,1
216,A11,18,A30,A49,3104,A61,A74,3,A101,1,A122,1,A141,A152,1,A173,1,A192,A201,1,1,0
217,A13,36,A32,A43,3913,A61,A73,2,A101,2,A121,0,A143,A152,1,A173,1,A192,A201,1,1,0
218,A11,24,A32,A42,3021,A61,A73,2,A101,2,A121,0,A143,A151,1,A172,1,A191,A201,1,1,1
219,A14,10,A32,A40,1364,A61,A73,2,A101,4,A123,1,A143,A152,1,A173,1,A192,A201,1,0,1
220,A12,24,A32,A43,625,A61,A72,2,A103,1,A123,1,A143,A152,1,A173,1,A191,A201,0,1,1
221,A11,12,A32,A46,1200,A65,A73,4,A101,4,A122,0,A141,A151,1,A173,1,A192,A201,1,0,1
222,A14,24,A34,A43,707,A62,A73,3,A101,2,A124,1,A143,A152,2,A174,1,A191,A201,0,1,0
223,A14,24,A33,A49,2978,A65,A73,4,A101,4,A121,1,A143,A152,2,A173,2,A192,A201,1,1,0
224,A13,6,A33,A41,4657,A64,A73,1,A101,2,A123,1,A143,A152,1,A173,1,A192,A201,0,1,0
225,A14,36,A30,A45,2613,A61,A73,4,A101,2,A123,1,A143,A152,2,A173,1,A191,A201,1,1,0
226,A12,48,A32,A43,10961,A64,A74,1,A102,2,A124,1,A141,A152,2,A173,1,A192,A201,0,1,0
227,A11,12,A32,A42,7865,A61,A75,4,A101,4,A124,1,A143,A153,1,A174,1,A192,A201,0,1,0
228,A14,9,A32,A43,1478,A61,A74,4,A101,2,A123,0,A143,A152,1,A173,1,A191,A201,0,1,0
229,A11,24,A32,A42,3149,A61,A72,4,A101,1,A124,0,A141,A153,1,A173,1,A191,A201,1,1,0
230,A13,36,A32,A43,4210,A61,A73,4,A101,2,A123,1,A143,A152,1,A173,1,A191,A201,0,1,0
231,A14,9,A32,A40,2507,A63,A75,2,A101,4,A124,1,A143,A153,1,A172,1,A191,A201,1,1,0
232,A12,9,A32,A43,2141,A61,A74,1,A101,1,A123,1,A143,A152,1,A173,1,A191,A201,0,1,0
233,A12,18,A32,A43,866,A61,A73,4,A103,2,A121,0,A143,A152,1,A172,1,A191,A201,1,1,1
