age,workclass,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,sex,Probability
59,0,9,1,0,1,1,0,0,40,1,0,1
40,0,10,0,1,0,1,0,0,38,1,0,0
35,0,13,1,4,1,1,0,0,40,0,1,1
38,0,14,1,4,1,1,0,0,70,1,1,1
23,1,9,0,2,0,1,0,0,40,1,0,1
40,1,13,1,4,1,1,0,0,40,1,1,1
41,0,9,1,0,0,1,0,0,20,1,0,0
24,0,12,1,3,1,1,0,0,50,1,0,1
38,1,10,0,2,0,1,2653,1741,40,0,0,1
58,1,9,1,1,1,1,0,0,60,1,1,1
32,1,9,0,0,0,1,0,0,34,1,0,0
18,1,12,1,3,1,1,0,1977,60,1,1,1
41,1,15,1,4,0,1,0,0,40,0,1,0
42,1,13,1,1,0,0,0,0,40,1,0,0
59,0,6,1,0,0,0,0,0,30,1,0,0
19,0,10,0,1,0,1,0,0,40,1,0,1
58,1,10,0,2,0,1,0,0,20,1,0,1
42,0,9,1,1,1,0,0,0,40,0,1,1
20,1,9,0,1,0,1,0,0,40,1,0,0
32,1,14,0,0,0,1,0,0,35,1,0,0
45,1,11,0,4,0,1,0,0,45,1,0,0
50,1,4,0,2,0,1,0,0,40,1,0,1
36,1,13,0,4,0,1,0,0,40,1,0,0
45,1,9,1,2,1,1,0,0,60,1,0,1
17,1,7,0,0,0,1,0,0,12,1,0,1
59,1,10,0,2,1,1,4064,0,40,1,0,1
26,1,7,1,2,1,1,0,0,40,1,0,1
37,0,10,1,4,1,0,0,0,75,0,1,1
64,1,9,1,2,1,1,0,0,40,1,1,1
33,1,13,0,4,0,1,0,0,45,1,0,0
33,1,9,1,2,0,1,0,0,40,1,1,0
61,1,9,1,4,1,1,0,0,40,1,1,1
17,1,5,0,0,1,1,1055,0,24,1,0,1
50,0,10,1,1,1,1,2407,0,98,1,0,1
27,0,14,0,4,0,1,0,0,35,1,0,1
30,1,9,0,4,0,1,0,0,40,1,0,0
43,1,9,1,0,1,0,0,0,40,1,0,1
22,1,9,1,2,1,1,7298,0,40,1,1,1
35,1,15,0,4,0,1,0,0,40,1,0,0
25,1,11,0,3,0,1,0,0,40,1,0,0
24,1,10,1,1,0,1,7298,0,48,1,1,0
22,1,13,0,4,1,1,0,0,15,0,0,0
42,0,15,1,2,1,1,5178,0,40,1,1,1
34,1,12,0,2,0,0,0,0,45,1,0,0
60,0,13,0,4,1,1,0,0,42,1,0,0
21,1,9,0,0,0,1,0,0,40,1,0,1
57,0,14,1,2,0,1,0,0,35,1,1,1
41,1,15,1,4,1,1,0,0,60,1,1,1
50,1,10,0,0,0,1,0,0,45,1,0,1
25,1,13,0,4,0,1,0,0,40,1,0,0
50,0,4,1,2,1,1,0,0,24,0,0,1
36,1,13,1,4,1,1,0,0,45,1,0,1
31,1,9,0,4,0,1,0,0,40,1,0,0
29,0,13,0,3,0,1,0,0,56,1,0,1
21,1,10,0,2,0,1,0,0,45,1,0,1
27,1,13,0,3,0,1,0,0,40,1,0,0
65,1,9,1,2,1,1,0,0,16,1,0,1
37,0,13,0,2,0,1,0,0,60,1,0,0
24,0,9,0,2,0,1,0,0,40,1,0,1
38,1,9,0,2,0,1,0,0,40,1,0,1
48,1,13,1,1,1,1,7688,0,40,1,1,1
21,1,10,0,0,0,0,0,0,25,1,0,0
31,1,9,1,2,1,1,0,0,45,1,1,1
55,1,9,1,2,1,1,4386,0,40,1,1,1
24,1,10,1,1,0,1,0,0,40,1,0,0
43,1,9,0,1,0,1,0,0,40,1,0,0
26,1,12,0,3,1,1,0,0,45,1,0,1
46,1,12,0,4,0,1,0,0,33,1,0,0
35,1,12,1,1,1,1,0,0,55,1,1,1
41,0,10,1,1,1,1,0,0,54,1,1,1
26,1,13,0,2,0,1,0,2267,40,1,0,1
34,1,14,1,4,1,0,7298,0,35,0,1,1
36,0,13,0,4,0,0,0,0,40,1,1,0
22,1,10,0,2,0,1,0,0,15,1,0,1
24,1,10,0,1,0,1,0,0,40,1,0,1
77,0,10,1,2,1,1,0,0,40,1,0,1
22,1,3,1,1,0,1,0,0,40,0,0,0
29,1,10,0,3,0,1,0,0,40,1,0,0
62,1,9,0,0,0,1,0,0,24,1,0,0
43,0,9,1,4,1,1,0,0,40,1,0,1
43,1,10,1,2,1,1,0,1485,50,1,0,1
35,1,9,0,2,0,1,0,0,45,1,0,1
29,1,9,0,4,0,1,0,0,40,1,0,0
76,0,14,1,2,1,1,0,0,10,1,0,1
63,0,9,1,1,1,1,0,0,45,1,0,1
43,1,10,1,4,0,1,0,1887,50,1,1,0
58,0,9,0,0,1,1,0,0,40,1,0,1
66,1,9,0,2,0,1,2050,0,55,1,0,1
41,1,10,0,2,0,1,0,0,45,1,0,1
26,1,13,0,1,0,1,0,0,40,1,0,1
47,1,11,0,0,0,1,0,0,40,1,0,1
55,0,6,1,1,0,1,0,0,40,1,0,1
53,1,9,1,2,1,1,0,0,40,1,0,1
17,1,3,0,0,0,1,0,0,48,0,0,1
48,1,9,0,2,0,1,0,0,40,1,0,1
39,1,14,0,4,0,1,0,0,60,1,0,1
19,1,9,0,2,0,0,0,0,30,0,0,1
45,1,9,1,0,1,0,0,0,40,1,0,1
26,1,12,0,2,0,1,0,0,40,1,0,1
38,1,11,1,2,1,1,7298,0,40,1,1,1
36,0,9,1,3,1,1,7298,0,40,1,1,1
33,1,9,0,1,0,1,0,0,20,1,0,1
22,0,10,0,3,0,0,0,0,40,1,0,0
43,0,13,0,2,0,1,0,0,42,1,0,1
56,1,12,0,0,0,1,0,0,25,0,0,1
31,1,9,0,4,0,1,0,0,25,1,0,1
33,1,13,1,4,1,1,0,0,40,1,1,1
26,1,9,1,0,1,1,0,0,40,1,0,1
33,1,13,1,4,1,1,0,0,40,1,1,1
46,0,7,1,2,1,1,0,0,30,1,0,1
38,0,9,1,1,1,1,0,0,40,1,1,1
65,1,7,0,0,0,0,0,0,40,1,0,1
40,1,11,1,3,1,1,0,0,60,1,1,1
44,1,9,1,1,0,1,0,0,35,1,0,0
26,0,5,1,2,1,1,0,0,40,0,0,1
28,1,6,1,0,1,1,0,0,24,1,0,0
62,1,14,1,4,1,1,0,0,40,1,1,1
43,1,13,1,2,1,1,0,0,45,1,0,1
43,1,13,0,4,0,1,0,1564,45,1,1,1
22,1,9,0,2,0,1,0,0,55,1,0,1
28,1,9,1,2,1,1,0,0,40,1,0,1
56,0,10,1,2,1,1,0,0,45,1,0,1
22,1,12,0,2,0,1,0,0,15,1,0,0
57,1,13,0,4,0,1,0,0,45,1,1,0
39,1,9,0,2,0,1,0,0,40,1,0,0
26,0,10,0,1,0,1,0,0,15,1,0,0
17,1,7,0,0,0,1,0,0,10,1,0,1
40,0,11,1,1,1,1,0,0,38,1,1,1
45,1,9,1,1,1,0,0,0,40,1,0,1
44,1,9,0,2,0,1,0,0,40,1,0,1
20,0,10,0,1,0,1,0,0,10,1,0,0
33,1,9,1,2,0,1,0,0,40,1,0,0
23,1,10,0,2,1,1,0,0,40,1,0,1
17,0,14,0,4,0,1,0,0,30,1,0,1
38,1,9,1,2,1,1,0,0,50,1,0,1
54,1,9,1,2,0,1,0,0,40,1,0,1
46,1,3,0,2,0,1,0,2339,45,1,0,0
25,1,10,1,2,1,1,0,0,40,1,0,1
46,1,10,0,2,0,1,0,0,40,1,0,0
36,1,10,1,2,0,1,0,0,40,1,0,0
23,1,9,0,0,0,1,0,0,25,1,0,0
29,1,9,0,2,0,1,0,0,40,1,0,1
44,1,10,1,1,0,1,0,2415,6,1,1,0
19,1,10,0,2,0,1,0,0,16,1,0,0
19,1,9,0,0,0,1,0,0,40,1,0,0
26,1,9,1,0,0,1,0,0,40,1,1,0
27,1,13,0,2,0,1,0,0,50,1,0,1
46,0,12,0,2,0,1,0,0,40,1,0,1
34,1,9,0,1,0,1,0,0,35,1,0,0
44,1,10,0,3,1,1,0,0,40,1,0,1
45,1,10,0,2,0,1,0,0,40,1,0,0
25,1,13,1,4,1,1,0,0,55,1,1,1
52,0,13,1,4,1,1,0,0,50,1,1,1
20,1,10,0,0,0,1,0,0,40,1,0,1
47,1,10,0,0,0,1,0,0,40,1,0,0
50,0,13,1,3,1,1,0,0,40,1,1,1
34,1,11,0,3,0,1,0,0,40,1,0,0
28,0,6,1,0,1,0,0,2179,40,0,0,1
41,1,14,1,4,1,1,0,1977,40,1,1,1
57,1,9,1,1,1,1,0,0,40,1,0,1
46,0,9,0,2,1,1,0,0,40,1,0,1
32,1,10,1,4,0,1,0,0,50,1,0,1
41,0,10,0,0,0,0,0,0,24,1,0,0
24,1,9,0,0,0,0,0,1977,40,1,0,0
33,1,10,0,4,0,1,0,0,40,1,0,0
46,1,16,1,4,1,1,15024,0,60,1,1,1
31,0,10,1,1,1,1,0,0,40,1,0,1
35,1,8,0,2,0,1,0,0,50,1,1,1
52,1,2,1,1,1,1,0,0,40,0,0,1
30,1,7,0,0,0,1,0,0,19,1,0,0
34,0,14,0,1,0,0,0,0,40,1,0,1
34,0,9,0,2,0,1,0,0,40,1,0,0
20,1,9,1,2,1,1,0,0,30,1,0,1
17,1,9,0,1,0,1,2176,0,18,1,0,1
32,0,13,1,4,0,1,0,0,40,1,1,0
29,1,9,0,1,0,1,0,0,40,1,0,1
33,1,6,0,4,1,1,0,0,35,1,0,0
25,1,9,1,2,1,1,0,0,60,1,0,1
36,0,14,0,4,0,1,0,1408,40,1,0,1
23,1,9,0,0,0,1,0,0,72,0,0,1
63,0,9,1,4,1,1,0,0,40,1,1,1
47,0,14,1,4,1,1,0,0,40,1,0,1
40,0,13,0,4,0,1,2174,0,40,1,0,0
30,1,12,1,0,0,1,0,0,25,1,1,0
27,1,10,0,2,0,0,0,1980,40,0,0,1
33,1,14,1,4,1,1,0,0,50,1,1,1
34,0,9,0,1,0,0,594,0,35,1,0,1
34,0,10,0,3,0,1,0,0,40,1,0,0
23,1,10,1,1,1,1,0,0,40,1,0,1
42,0,10,1,1,0,1,0,0,40,1,0,0
29,1,13,0,4,0,1,0,0,40,1,0,1
45,1,9,0,1,0,1,0,0,28,1,0,0
24,0,9,0,3,0,1,0,0,40,1,0,1
44,1,10,1,4,1,1,0,0,40,1,1,1
19,1,5,0,2,0,1,0,0,60,0,0,1
20,1,10,0,2,0,1,0,0,40,1,0,1
44,1,9,0,4,0,0,0,0,40,1,0,0
20,1,9,1,2,1,0,0,0,40,1,0,1
20,1,9,1,1,1,1,0,0,40,1,0,1
19,1,9,0,1,0,0,0,0,40,1,0,0
45,0,10,1,2,1,1,0,0,55,1,1,1
60,1,9,1,2,1,1,0,0,40,1,1,1
44,0,9,1,2,0,1,0,0,40,1,1,0
40,1,11,1,1,1,0,0,0,40,1,1,1
30,1,9,1,4,0,1,0,0,40,1,0,0
38,1,10,1,2,1,0,0,0,50,1,0,1
23,1,9,1,2,1,1,0,0,60,1,0,1
44,1,12,0,1,0,1,0,0,40,1,0,1
54,0,9,1,2,1,0,0,0,40,1,0,1
32,1,10,1,4,1,1,0,0,50,1,0,1
50,1,2,0,2,0,1,0,0,40,1,0,1
24,1,9,0,3,0,1,0,0,20,1,0,0
37,1,9,1,1,0,1,0,0,60,1,0,0
52,1,9,0,2,0,1,0,0,40,1,0,1
38,1,10,1,2,1,1,0,0,40,1,0,1
49,1,14,1,4,1,1,0,1977,45,1,1,1
30,1,13,1,3,0,1,0,0,16,1,1,0
60,1,10,0,4,0,1,0,0,40,1,1,1
35,1,9,0,2,0,1,0,0,40,1,0,1
30,1,9,0,2,0,1,0,0,60,1,0,1
67,1,11,0,0,0,1,0,0,24,1,0,0
46,1,13,0,0,0,1,0,0,40,1,0,0
17,1,5,0,0,0,1,0,0,40,1,0,1
22,1,10,0,0,0,1,0,0,30,1,0,1
27,1,6,0,0,0,1,0,0,40,1,0,1
23,1,9,0,0,0,1,0,0,35,1,0,0
33,1,12,1,2,1,1,0,0,45,0,0,1
43,0,10,1,2,1,1,0,0,20,1,0,1
28,0,13,0,4,0,1,0,0,40,1,0,1
41,1,9,0,2,0,1,0,0,40,1,0,0
25,1,10,0,1,0,0,0,0,20,1,0,0
59,0,9,1,1,1,1,0,0,45,1,0,1
45,0,11,0,4,0,1,0,0,40,1,0,0
38,1,13,1,2,1,1,15024,0,60,1,1,1
40,1,9,0,0,0,1,0,0,35,1,0,0
46,0,9,0,1,0,1,0,0,40,0,0,1
35,1,12,0,4,0,1,0,0,60,1,0,0
34,1,9,0,4,0,1,0,0,25,1,0,0
33,1,13,0,2,1,1,0,0,20,1,0,1
41,1,9,0,1,0,1,0,0,36,1,0,0
20,1,10,1,1,0,1,0,0,40,1,0,1
23,1,3,0,0,0,1,0,0,40,0,0,1
26,1,10,0,4,0,1,0,0,35,1,0,0
23,0,9,0,1,0,1,0,0,40,0,0,1
62,0,9,1,4,1,1,0,0,40,1,0,1
52,1,10,1,1,1,1,0,0,40,1,0,1
58,1,10,0,0,0,1,0,0,42,0,0,0
25,1,13,0,2,0,1,0,0,16,1,0,0
24,1,13,0,4,0,0,0,0,40,1,0,1
19,1,10,0,3,0,1,0,0,8,1,0,1
43,1,10,1,4,1,1,0,0,40,1,0,1
47,0,9,0,1,0,0,0,0,40,1,0,0
39,1,9,0,0,0,1,0,0,40,1,0,0
49,1,11,0,0,0,1,0,1380,42,1,0,1
32,1,11,0,2,0,1,0,0,45,1,0,1
34,1,10,1,4,1,1,0,0,50,0,1,1
52,1,9,0,2,0,1,0,0,45,1,0,1
25,1,10,0,1,0,0,0,0,20,1,0,0
34,1,13,1,4,1,1,0,0,36,1,1,1
38,1,13,1,4,1,1,0,0,80,1,1,1
50,1,9,1,4,1,1,7688,0,50,1,1,1
24,0,10,0,0,0,0,0,0,50,1,0,1
37,0,10,0,3,1,1,0,0,45,1,1,1
44,1,10,0,1,0,1,0,0,58,1,1,1
28,1,10,1,2,0,1,0,0,40,1,0,0
42,1,13,1,4,1,1,0,0,40,1,1,1
74,1,10,0,1,0,1,0,0,9,1,0,0
38,0,9,1,2,1,1,0,0,50,1,0,1
44,0,14,1,4,0,1,0,0,40,1,0,1
44,1,7,0,1,0,0,0,0,46,0,0,0
26,1,9,0,1,1,1,0,0,40,1,0,1
36,1,9,1,0,1,0,0,0,40,1,0,1
41,1,12,1,1,0,1,0,0,50,1,1,0
67,1,15,1,4,1,1,20051,0,48,1,1,1
39,0,8,1,3,1,1,0,0,50,1,0,1
57,1,2,0,0,0,0,0,0,30,1,0,0
29,1,11,0,2,0,1,0,0,40,1,0,1
51,0,13,0,1,0,1,0,0,45,1,0,0
44,1,10,1,2,1,1,0,0,40,1,0,1
29,1,16,0,4,0,1,0,0,40,1,0,1
30,1,10,0,0,0,1,0,0,40,1,0,0
27,1,9,0,2,0,1,0,0,40,1,0,1
27,1,10,1,2,1,1,0,0,50,1,0,1
32,1,9,0,0,0,1,0,0,45,1,0,0
58,1,6,1,0,0,1,0,0,8,1,0,0
35,0,10,1,3,1,1,0,0,40,1,0,1
21,1,9,0,2,0,1,0,0,78,1,0,1
28,1,10,0,2,0,1,0,0,40,1,0,1
46,0,10,0,4,0,1,0,0,50,1,0,1
36,0,9,0,0,0,1,0,0,40,1,0,0
72,1,7,0,1,0,1,0,0,40,1,0,0
35,1,9,0,1,0,0,0,0,40,1,0,0
33,0,11,0,2,0,0,0,0,40,1,1,0
69,1,7,0,1,0,1,0,0,40,1,0,0
35,1,9,1,0,1,1,0,0,40,1,0,1
34,1,9,1,3,0,1,0,0,32,1,0,0
30,1,7,1,0,1,1,0,0,40,0,0,1
36,1,13,0,2,0,1,0,0,55,1,0,1
54,1,13,1,2,1,1,0,0,35,1,1,1
47,1,10,1,4,1,1,0,0,50,1,1,1
24,1,9,0,0,0,0,0,0,40,1,0,0
52,1,13,1,4,1,1,0,0,60,1,1,1
20,1,9,0,0,0,0,0,0,48,1,0,1
43,0,14,0,4,1,1,5013,0,45,1,0,1
45,1,4,0,0,0,1,0,0,40,0,0,0
29,0,9,0,2,0,1,0,0,35,1,0,1
47,1,14,0,4,0,1,0,0,42,1,0,1
24,1,9,0,2,0,1,0,0,40,1,0,1
51,1,9,1,4,1,1,0,0,40,1,0,1
17,1,7,0,2,1,1,0,0,12,1,0,1
37,1,11,1,2,1,1,0,1977,40,1,1,1
27,1,16,0,4,0,1,0,0,70,0,0,0
29,1,13,1,4,0,1,0,0,40,1,1,1
